universe,strategy_id,period,start,end,sharpe,delta_sharpe_vs_full_target,avg_turnover,delta_turnover_vs_full_target,maxdd,delta_maxdd_vs_full_target,max_abs_exposure
US large-cap sample,defensive_momentum_nc,early,2011-01-04,2015-12-21,0.001530588746275,-0.2630966009849304,0.2076301632409378,-0.6320477099127402,-0.0585522221062807,0.0573824042421858,1.3322676295501878e-15
US large-cap sample,defensive_momentum_nc,middle,2015-12-22,2020-12-09,-0.3311355395267405,0.3718625334163022,0.2202689343477477,-0.6348492228811907,-0.0875932283946128,0.1374659448278559,1.7590096046404824e-15
US large-cap sample,defensive_momentum_nc,late,2020-12-10,2025-12-03,0.3210126580142507,0.3253732753257685,0.2208661483611624,-0.626237604404964,-0.0450194273037236,0.0732135107199727,1.1657341758564144e-15
US large-cap sample,ensemble_continuous_nc,early,2011-01-04,2015-12-21,0.3450748398253102,0.0804476500941048,0.2857882510552718,-0.5538896220984061,-0.0869621991259701,0.0289724272224964,2.0929438737660178e-15
US large-cap sample,ensemble_continuous_nc,middle,2015-12-22,2020-12-09,-0.3074347293548178,0.3955633435882249,0.3436294289497163,-0.5114887282792222,-0.1330687384668778,0.0919904347555908,2.6471880243406076e-15
US large-cap sample,ensemble_continuous_nc,late,2020-12-10,2025-12-03,0.656872321674634,0.6612329389861518,0.2978325387735734,-0.5492712139925531,-0.0503691791078652,0.0678637589158311,2.4980018054066026e-15
US large-cap sample,reversal_continuous_nc,early,2011-01-04,2015-12-21,-0.0699278538625103,-0.3345550435937158,0.7541738162927781,-0.0855040568608997,-0.0721645858421976,0.0437700405062689,2.5326962749261384e-15
US large-cap sample,reversal_continuous_nc,middle,2015-12-22,2020-12-09,0.3687282012405424,1.0717262741835851,0.8753238772627632,0.0202057200338247,-0.0558918282575505,0.1691673449649181,4.9682480351975755e-15
US large-cap sample,reversal_continuous_nc,late,2020-12-10,2025-12-03,0.4810845522290907,0.4854451695406085,0.8278541090975705,-0.0192496436685559,-0.098733613837094,0.0194993241866023,1.1102230246251563e-15
Sector,defensive_momentum_nc,early,2001-01-03,2009-05-13,0.2095208396599873,0.4368946081243645,0.1710234088514384,-0.71784134071235,-0.1096620279456047,0.1344887171167079,4.2151145392441676e-16
